SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
_cdb_spfile_inherit                                          Inherit CDB Spfile enabled/disabled in a PDB                                                         FALSE                FALSE                                                                                                                
_cdb_svlt_use_tcps                                           Use TCPS for CDB Servlet                                                                             FALSE                FALSE                                                                                                                
_cdb_view_no_skip_migrate                                    do not skip OPEN MIGRATE PDBs from results of CONTAINERS()                                           FALSE                FALSE                                                                                                                
_cdb_view_no_skip_restricted                                 do not skip RESTRICTED mode PDBs from results of CONTAINERS()                                        FALSE                FALSE                                                                                                                
_cdb_view_parallel_degree                                    Parallel degree for a CDB view query                                                                 65535                65535                                                                                                                
_cdb_view_prefetch_batch_size                                Batch Size for Prefetch for a CDB view query                                                         200                  200                                                                                                                  
_cdb_view_rc_shelflife                                       Result Cache Shelflife for a CDB view query                                                          30                   30                                                                                                                   
_cdb_view_recursive_px_enabled                               enable parallelism of recursive SQL under CONTAINERS()                                               TRUE                 TRUE                                                                                                                 
_cdc_subscription_owner                                      Change Data Capture subscription_owner                                                                                                                                                                                                         
_cdmp_diagnostic_level                                       cdmp directory diagnostic level                                                                      2                    2                                                                                                                    
_cell_fast_file_create                                       Allow optimized file creation path for Cells                                                         TRUE                 TRUE                                                                                                                 
_cell_fast_file_restore                                      Allow optimized rman restore for Cells                                                               TRUE                 TRUE                                                                                                                 
_cell_file_format_chunk_size                                 Cell file format chunk size in MB                                                                    0                    0                                                                                                                    
_cell_index_scan_enabled                                     enable CELL processing of index FFS                                                                  TRUE                 TRUE                                                                                                                 
_cell_materialize_all_expressions                            Force materialization of all offloadable expressions on the cells                                    FALSE                FALSE                                                                                                                
_cell_materialize_virtual_columns                            enable offload of expressions underlying virtual columns to cells                                    TRUE                 TRUE                                                                                                                 
_cell_metadata_compression                                   Cell metadata compression strategy                                                                   AUTO                 AUTO                                                                                                                 
_cell_object_expiration_hours                                flashcache object expiration timeout                                                                 24                   24                                                                                                                   
_cell_offload_backup_compression                             enable offload of backup compression to cells                                                        TRUE                 TRUE                                                                                                                 
_cell_offload_capabilities_enabled                           specifies capability table to load                                                                   1                    1                                                                                                                    
_cell_offload_complex_processing                             enable complex SQL processing offload to cells                                                       TRUE                 TRUE                                                                                                                 
_cell_offload_expressions                                    enable offload of expressions to cells                                                               TRUE                 TRUE                                                                                                                 
_cell_offload_grand_total                                    allow offload of grand total aggregations                                                            TRUE                 TRUE                                                                                                                 
_cell_offload_hybrid_processing                              enable hybrid SQL processing offload to cells                                                        TRUE                 TRUE                                                                                                                 
_cell_offload_hybridcolumnar                                 Query offloading of hybrid columnar compressed tables to exadata                                     TRUE                 TRUE                                                                                                                 
_cell_offload_predicate_reordering_enabled                   enable out-of-order SQL processing offload to cells                                                  FALSE                FALSE                                                                                                                
_cell_offload_sys_context                                    enable offload of SYS_CONTEXT evaluation to cells                                                    TRUE                 TRUE                                                                                                                 
_cell_offload_timezone                                       enable timezone related SQL processing offload to cells                                              TRUE                 TRUE                                                                                                                 
_cell_offload_vector_groupby                                 enable SQL processing offload of vector group by                                                     TRUE                 TRUE                                                                                                                 
_cell_offload_vector_groupby_external                        enable cell offload of vector group by with external tables                                          TRUE                 TRUE                                                                                                                 
_cell_offload_vector_groupby_fact_key                        enable cell offload of vector group by with fact grouping keys                                       TRUE                 TRUE                                                                                                                 
_cell_offload_vector_groupby_force                           force offload of vector group by                                                                     FALSE                FALSE                                                                                                                
_cell_offload_vector_groupby_withnojoin                      allow offload of vector group by without joins                                                       TRUE                 TRUE                                                                                                                 
_cell_offload_virtual_columns                                enable offload of predicates on virtual columns to cells                                             TRUE                 TRUE                                                                                                                 
_cell_range_scan_enabled                                     enable CELL processing of index range scans                                                          TRUE                 TRUE                                                                                                                 
_cell_storidx_minmax_enabled                                 enable Storage Index Min/Max optimization on the cells                                               TRUE                 TRUE                                                                                                                 
_cell_storidx_mode                                           Cell Storage Index mode                                                                              EVA                  EVA                                                                                                                  
_cellcache_clause_default                                    Default cellcache clause for new tables                                                                                                                                                                                                        
_cellcache_default_flags                                     Default flags based on cellcache_clause_default                                                      2                    2                                                                                                                    
_cellcache_default_new                                       Force cellcache on new tables                                                                        FALSE                FALSE                                                                                                                
_cgs_allgroup_poll_time                                      CGS DBALL group polling interval in milli-seconds                                                    20000                20000                                                                                                                
_cgs_big_group_enabled                                       big group membership support                                                                         FALSE                FALSE                                                                                                                
_cgs_clscevents_dumpinterval                                 cgs clsce events statistics dump interval in seconds                                                 600                  600                                                                                                                  
_cgs_combine_css_events                                      CGS registration flags for CSS event combining                                                       31                   31                                                                                                                   
_cgs_comm_readiness_check                                    CGS communication readiness check                                                                    1                    1                                                                                                                    
_cgs_dball_group_registration                                CGS DBALL group registration type                                                                    local                local                                                                                                                
_cgs_dbgroup_poll_time                                       CGS DB group polling interval in milli-seconds                                                       600                  600                                                                                                                  
_cgs_health_check_in_reconfig                                CGS health check during reconfiguration                                                              FALSE                FALSE                                                                                                                
_cgs_memberkill_from_rim_instance                            allow a RIM instance to issue a CSS member kill                                                      FALSE                FALSE                                                                                                                
_cgs_msg_batch_size                                          CGS message batch size in bytes                                                                      4096                 4096                                                                                                                 
_cgs_msg_batching                                            CGS message batching                                                                                 TRUE                 TRUE                                                                                                                 
_cgs_node_kill_escalation                                    CGS node kill escalation to CSS                                                                      TRUE                 TRUE                                                                                                                 
_cgs_node_kill_escalation_wait                               CGS wait time to escalate node kill to CSS in seconds                                                0                    0                                                                                                                    
_cgs_os_level_connection_check                               allow OS level connection and interface check                                                        1                    1                                                                                                                    
_cgs_os_level_connection_dynamicthread                       allow oraping to spawn more threads than the default.                                                TRUE                 TRUE                                                                                                                 
_cgs_os_level_connection_reqno                               number of ping rqst to process at once, threads created                                              0                    0                                                                                                                    
_cgs_publish_netinfo_collect_event_chm                       enable cgs publish collect_netinfo event to event stream for CHM                                     rcfg-half-timeout,rc rcfg-half-timeout,rc                                                                                                 
                                                                                                                                                                  fg-timeout,rcfg-done fg-timeout,rcfg-done                                                                                                 
                                                                                                                                                                  ,idleconn-half-timeo ,idleconn-half-timeo                                                                                                 
                                                                                                                                                                  ut,idleconn-timeout- ut,idleconn-timeout-                                                                                                 
                                                                                                                                                                  imr,idleconn-cln,rcf imr,idleconn-cln,rcf                                                                                                 
                                                                                                                                                                  g-begin,rcfg-pngchkd g-begin,rcfg-pngchkd                                                                                                 
                                                                                                                                                                  one,rcfg-memchg      one,rcfg-memchg                                                                                                      
                                                                                                                                                                                                                                                                                                            
_cgs_publish_netinfo_collect_event_chmjf                     enable cgs publish collect_netinfo event to event stream for CHM with CHM'S JASON format             TRUE                 TRUE                                                                                                                 
_cgs_publish_netinfo_collect_event_chmjf_batchsz             batch size of cgs events publishing to CHM in json format via clsce event stream                     0                    0                                                                                                                    
_cgs_publish_netinfo_collect_event_haip                      enable cgs publish collect_netinfo event to event stream for HAIP                                    TRUE                 TRUE                                                                                                                 
_cgs_query_net_interface                                     api to query network interface                                                                       SCLSI                SCLSI                                                                                                                
_cgs_reconfig_extra_wait                                     CGS reconfiguration extra wait time for CSS in seconds                                               3                    3                                                                                                                    
_cgs_reconfig_timeout                                        CGS reconfiguration timeout interval                                                                 0                    0                                                                                                                    
_cgs_send_timeout                                            CGS send timeout value                                                                               300                  300                                                                                                                  
_cgs_support_rim_disc                                        rim instance disconnect and reconnect event support                                                  TRUE                 TRUE                                                                                                                 
_cgs_ticket_sendback                                         CGS ticket active sendback percentage threshold                                                      50                   50                                                                                                                   
_cgs_tickets                                                 CGS messaging tickets                                                                                1000                 1000                                                                                                                 
_cgs_zombie_member_kill_wait                                 CGS zombie member kill wait time in seconds                                                          20                   20                                                                                                                   
_change_vector_buffers                                       Number of change vector buffers for media recovery                                                   1                    1                                                                                                                    
_change_vector_read_sample_ratio                             Sample ratio of change vector read timestamp on ADG                                                  0                    0                                                                                                                    
_check_block_after_checksum                                  check block before write irrespective of db_block_checking                                           FALSE                FALSE                                                                                                                
_check_block_new_invariant_for_flashback                     check block new invariant for flashback                                                              FALSE                FALSE                                                                                                                
_check_column_length                                         check column length                                                                                  TRUE                 TRUE                                                                                                                 
_check_pdbid_in_redo                                         Enable checking of pluggable database ID in redo                                                     FALSE                FALSE                                                                                                                
_check_ts_threshold                                          check tablespace thresholds                                                                          0                    0                                                                                                                    
_child_read_ahead_dba_check                                  if TRUE, assert child read ahead dba to be continuous of parent                                      FALSE                FALSE                                                                                                                
_cleanout_shrcur_buffers                                     if TRUE, cleanout shrcur buffers                                                                     TRUE                 TRUE                                                                                                                 
_cleanup_rollback_entries                                    no. of undo entries to apply per transaction cleanup                                                 100                  100                                                                                                                  
_cleanup_timeout                                             timeout value for PMON cleanup                                                                       150                  150                                                                                                                  
_cleanup_timeout_flags                                       flags for PMON cleanup timeout                                                                       0                    0                                                                                                                    
_clear_buffer_before_reuse                                   Always zero-out buffer before reuse for security                                                     FALSE                FALSE                                                                                                                
_clear_preserved_buffers                                     Clear preserved buffers before DB reopen after switchover                                            TRUE                 TRUE                                                                                                                 
_cli_cachebktalloc                                           Percentage of memory to allocate                                                                     100                  100                                                                                                                  
_client_enable_auto_unregister                               enable automatic unregister after a send fails with timeout                                          FALSE                FALSE                                                                                                                
_client_features_tracking_enable                             track client feature uage                                                                            TRUE                 TRUE                                                                                                                 
_client_ntfn_cleanup_interval                                interval after which dead client registration cleanup task repeats                                   2400                 2400                                                                                                                 
_client_ntfn_pinginterval                                    time between pings to unreachable notification clients                                               75                   75                                                                                                                   
_client_ntfn_pingretries                                     number of times to ping unreachable notification clients                                             6                    6                                                                                                                    
_client_ntfn_pingtimeout                                     timeout to connect to unreachable notification clients                                               30000                30000                                                                                                                
_client_result_cache_bypass                                  bypass the client result cache                                                                       FALSE                FALSE                                                                                                                
_client_result_cache_ramthreshold                            client_result_cache_ramthreshold                                                                                                                                                                                                               
_client_result_set_threshold                                 client_result_set_threshold                                                                                                                                                                                                                    
_client_tstz_error_check                                     Should Client give error for suspect Timestamp with Timezone operations                              TRUE                 TRUE                                                                                                                 
_clone_during_split                                          if TRUE, clone buffer during index split                                                             TRUE                 TRUE                                                                                                                 
_clone_one_pdb_recovery                                      Recover ROOT and only one PDB in clone database                                                      FALSE                FALSE                                                                                                                
_close_cached_open_cursors                                   close cursors cached by PL/SQL at each commit                                                        FALSE                FALSE                                                                                                                
_close_deq_by_cond_curs                                      Close Dequeue By Condition Cursors                                                                   FALSE                FALSE                                                                                                                
_cloud_mandatory_profile_setup                               Mandatory Profile Setup for Multitenant Cloud Environment                                            FALSE                FALSE                                                                                                                
_cloud_name                                                  gsm cloud name                                                                                                                                                                                                                                 
_cloud_service_sim                                           simulate cloud services in Database                                                                  0                    0                                                                                                                    
_cloud_service_type                                          cloud service type                                                                                                                                                                                                                             
_cloudsql_offload_enabled                                    enable CloudSQL cell offload support                                                                 FALSE                FALSE                                                                                                                
_cluster_database_instances                                  number of instances to use for sizing cluster db SGA structures                                      1                    1                                                                                                                    
_cluster_flash_cache_slave_file                              cluster flash cache slave file for default block size                                                                                                                                                                                          
_cluster_flash_cache_slave_size                              cluster flash cache slave file size for default block size                                           0                    0                                                                                                                    
_cluster_instances_number                                    number of instances to calculate number of resource buckets                                          4                    4                                                                                                                    
_cluster_library                                             cluster library selection                                                                            clss                 clss                                                                                                                 
_clusterwide_global_transactions                             enable/disable clusterwide global transactions                                                       TRUE                 TRUE                                                                                                                 
_collapse_wait_history                                       collapse wait history                                                                                FALSE                FALSE                                                                                                                
_collect_tempundo_stats                                      Collect Statistics v$tempundostat                                                                    TRUE                 TRUE                                                                                                                 
_collect_tempundo_stats                                      Collect Statistics v$tempundostat                                                                    TRUE                 TRUE                                                                                                                 
_collect_undo_stats                                          Collect Statistics v$undostat                                                                        TRUE                 TRUE                                                                                                                 
_collect_undo_stats                                          Collect Statistics v$undostat                                                                        TRUE                 TRUE                                                                                                                 
_column_compression_factor                                   Column compression ratio                                                                             0                    0                                                                                                                    
_column_elimination_off                                      turn off predicate-only column elimination                                                           FALSE                FALSE                                                                                                                
_column_level_stats                                          Turn column statistics collection on or off                                                          OFF                  OFF                                                                                                                  
_column_stats_flush_interval                                 column-level statistics flush to disk interval                                                       60                   60                                                                                                                   
_column_stats_max_entries_per_stat                           column-level statistics max entries saved per stat type                                              5                    5                                                                                                                    
_column_stats_mem_limit                                      percentage of the max shared pool column-level statistics can use - internal                         10                   10                                                                                                                   
_column_tracking_level                                       column usage tracking                                                                                53                   53                                                                                                                   
_common_data_view_enabled                                    common objects returned through dictionary views                                                     TRUE                 TRUE                                                                                                                 
_common_user_prefix                                          Enforce restriction on a prefix of a Common User/Role/Profile name                                   C##                  C##                                                                                                                  
_compilation_call_heap_extent_size                           Size of the compilation call heaps extents                                                           16384                16384                                                                                                                
_complex_view_merging                                        enable complex view merging                                                                          TRUE                 TRUE                                                                                                                 
_component_timing                                            Oracle parameter used for component tracking and timing                                                                                                                                                                                        
_composite_interval_partition_creation_opt_enabled           when creating interval/auto list partitions, defer subpartition segment creation until a row for the TRUE                 TRUE                                                                                                                 
                                                              subpartition is inserted                                                                                                                                                                                                                      
                                                                                                                                                                                                                                                                                                            
_compression_above_cache                                     number of recompression above cache for sanity check                                                 0                    0                                                                                                                    
_compression_advisor                                         Compression advisor                                                                                  0                    0                                                                                                                    
_compression_chain                                           percentage of chained rows allowed for Compression                                                   90                   90                                                                                                                   
_compression_compatibility                                   Compression compatibility                                                                            21.0.0               21.0.0                                                                                                               
_con_map_sql_enforcement                                     disable container map SQL enforcement                                                                TRUE                 TRUE                                                                                                                 
_concurrency_chosen                                          what is the chosen value of concurrency                                                              10                   10                                                                                                                   
_connect_by_use_union_all                                    use union all for connect by                                                                         TRUE                 TRUE                                                                                                                 
_connect_string_settings_after_logon_triggers                set connect string session settings after logon triggers                                             0                    0                                                                                                                    
_connect_string_settings_unalterable                         make connect string session settings unalterable                                                     0                    0                                                                                                                    
_connection_broker_handout_accept                            connection broker accepts prior to handout                                                           FALSE                FALSE                                                                                                                
_connection_broker_host                                      connection broker host for listen address                                                            localhost            localhost                                                                                                            
_connstr_test_param                                          connect string workload behavior spare param                                                         0                    0                                                                                                                    
_consensus_follower_election_timeout                         consensus follower's election timeout                                                                12000                12000                                                                                                                
_consensus_leader_heartbeat_interval                         consensus leader's heartbeat interval                                                                6000                 6000                                                                                                                 
_consensus_leader_maximum_heartbeats                         consensus leader's maximum heartbeats                                                                                                                                                                                                          
