SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
_ac_enable_dscn_in_rac                                       Enable Dependent Commit SCN tracking                                                                 FALSE                FALSE                                                                                                                
_ac_strict_SCN_check                                         enforce strict SCN check for AC replay across DG failover                                            FALSE                FALSE                                                                                                                
_accept_versions                                             List of parameters for rolling operation                                                                                                                                                                                                       
_actgrp_spawn_offload                                        action group spawn offload                                                                           TRUE                 TRUE                                                                                                                 
_active_instance_count                                       number of active instances in the cluster database                                                   1024                 1024                                                                                                                 
_active_session_idle_limit                                   active session idle limit                                                                            5                    5                                                                                                                    
_active_session_legacy_behavior                              active session legacy behavior                                                                       FALSE                FALSE                                                                                                                
_active_standby_fast_reconfiguration                         if TRUE optimize dlm reconfiguration for active/standby OPS                                          TRUE                 TRUE                                                                                                                 
_adaptive_direct_read                                        Adaptive Direct Read                                                                                 TRUE                 TRUE                                                                                                                 
_adaptive_direct_write                                       Adaptive Direct Write                                                                                TRUE                 TRUE                                                                                                                 
_adaptive_fetch_enabled                                      enable/disable adaptive fetch in parallel group by                                                   TRUE                 TRUE                                                                                                                 
_adaptive_log_file_sync_high_switch_freq_threshold           Threshold for frequent log file sync mode switches (per minute)                                      3                    3                                                                                                                    
_adaptive_log_file_sync_poll_aggressiveness                  Polling interval selection bias (conservative=0, aggressive=100)                                     0                    0                                                                                                                    
_adaptive_log_file_sync_sampling_count                       Evaluate post/wait versus polling every N writes                                                     128                  128                                                                                                                  
_adaptive_log_file_sync_sampling_time                        Evaluate post/wait versus polling every N seconds                                                    3                    3                                                                                                                    
_adaptive_log_file_sync_sched_delay_window                   Window (in seconds) for measuring average scheduling delay                                           60                   60                                                                                                                   
_adaptive_log_file_sync_use_polling_threshold                Ratio of redo synch time to expected poll time as a percentage                                       200                  200                                                                                                                  
_adaptive_log_file_sync_use_postwait_threshold               Percentage of foreground load from when post/wait was last used                                      50                   50                                                                                                                   
_adaptive_log_file_sync_use_postwait_threshold_aging         Permille of foreground load from when post/wait was last used                                        1001                 1001                                                                                                                 
